Axial Position x, Normalized Nozzle Radius r
0.379,0.452234
0.385,0.458208
0.392,0.464182
0.398,0.470156
0.405,0.476130
0.411,0.482104
0.417,0.488078
0.424,0.494052
0.430,0.500025
0.437,0.505999
0.443,0.511973
0.450,0.517947
0.456,0.523921
0.462,0.529895
0.469,0.535869
0.475,0.541842
0.482,0.547816
0.488,0.553790
0.495,0.559764
0.501,0.565738
0.507,0.571712
0.514,0.577686
0.520,0.583659
0.527,0.589633
0.533,0.595607
0.540,0.601581
0.546,0.607555
0.552,0.613529
0.559,0.619503
0.565,0.625476
0.572,0.631450
0.578,0.637424
0.585,0.643398
0.591,0.649372
0.597,0.655346
0.604,0.661320
0.610,0.667293
0.617,0.673267
0.623,0.679241
0.630,0.685215
0.636,0.691189
0.642,0.697163
0.649,0.703137
0.655,0.709111
0.662,0.715084
0.668,0.721058
0.675,0.727032
0.681,0.733006
0.687,0.738980
0.694,0.744954
0.700,0.750928
0.707,0.756901
0.713,0.762875
0.720,0.768849
0.726,0.774823
0.732,0.780797
0.739,0.786771
0.745,0.792745
0.752,0.798718
0.758,0.804692
0.765,0.810666
0.771,0.816640
0.777,0.822614
0.784,0.828588
0.790,0.834562
0.797,0.840535
0.803,0.846509
0.809,0.852483
0.816,0.858457
0.822,0.864431
0.829,0.870405
0.835,0.876379
0.842,0.882352
0.848,0.888326
0.854,0.894300
0.861,0.900274
0.867,0.906248
0.874,0.912222
0.880,0.918196
0.887,0.924170
0.893,0.930143
0.899,0.936117
0.906,0.942091
0.912,0.948065
0.919,0.954039
0.925,0.960013
0.932,0.965987
0.938,0.971960
0.944,0.977934
0.951,0.983908
0.957,0.989882
0.964,0.995856
0.970,1.001830
0.977,1.007804
0.983,1.013777
0.989,1.019751
0.996,1.025725
1.002,1.031699
1.009,1.037673
1.015,1.043647
1.022,1.049621
1.028,1.055594
1.034,1.061568
1.041,1.067542
1.047,1.073516
1.054,1.079490
1.060,1.085464
1.067,1.091438
1.073,1.097411
1.079,1.103385
1.086,1.109359
1.092,1.115333
1.099,1.121307
1.105,1.127281
1.112,1.133255
1.118,1.139229
1.124,1.145202
1.131,1.151176
1.137,1.157150
1.144,1.163124
